,name,institution,rating_mean,reviews_count,language
0,Machine Learning,Stanford University,4.739922694643843,12677.0,Inglés
1,Indigenous Canada,University of Alberta,4.816438356164384,1460.0,Inglés
2,The Science of Well-Being,Yale University,4.929503597999756,8199.0,Inglés
3,Technical Support Fundamentals,Google,4.76748237245956,12054.0,Inglés
4,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,4.818181818181818,33.0,Inglés
5,Financial Markets,Yale University,4.811454311454312,3108.0,Inglés
6,Introduction to Psychology,Yale University,4.852736318407961,3015.0,Inglés
7,Programming for Everybody (Getting Started with Python),University of Michigan,4.583672665177985,15226.0,Inglés
8,The Bits and Bytes of Computer Networking,Google,4.628921670475795,4811.0,Inglés
9,AI For Everyone,DeepLearning.AI,4.845112374763065,7384.0,Inglés
10,Crash Course on Python,Google,4.7251624883936865,3231.0,Inglés
11,Psychological First Aid,Johns Hopkins University,4.841421736158578,2925.0,Inglés
12,Neural Networks and Deep Learning,DeepLearning.AI,4.77123332248617,12291.0,Inglés
13,What is Data Science?,IBM,4.622820062187373,7396.0,Inglés
14,Successful Negotiation: Essential Strategies and Skills,University of Michigan,4.805507145346811,2868.0,Inglés
15,Fundamentals of Project Planning and Management,University of Virginia,4.764134275618375,1132.0,Inglés
16,Project Launch,"University of California, Irvine",4.361111111111111,36.0,Inglés
17,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,4.8964252978918426,1091.0,Inglés
18,Writing in the Sciences,Stanford University,4.919129082426127,1286.0,Inglés
19,Stanford Introduction to Food and Health,Stanford University,4.693655589123867,4965.0,Inglés
20,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,4.758631512868801,3186.0,Inglés
21,Excel Skills for Business: Essentials,Macquarie University,4.888301477565406,7376.0,Inglés
22,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,4.883429672447013,1038.0,Inglés
23,"Everyday Excel, Part 1",University of Colorado Boulder,4.755775577557756,303.0,Inglés
24,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,4.801196192401651,11871.0,Inglés
25,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,4.694018534119629,5933.0,Inglés
26,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,4.7544128933231,1303.0,Inglés
27,Python Data Structures,University of Michigan,4.849851164419541,11421.0,Inglés
28,Private Equity and Venture Capital,Università Bocconi,4.762250453720508,1102.0,Inglés
29,First Step Korean,Yonsei University,4.869848156182212,5993.0,Inglés
30,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,4.650616332819722,2595.0,Inglés
31,Operating Systems and You: Becoming a Power User,Google,4.503410641200546,2197.0,Inglés
32,Tools for Data Science,IBM,4.012816072047108,2887.0,Inglés
33,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,4.801784266017843,6164.0,Inglés
34,Diversity and inclusion in the workplace,ESSEC Business School,4.658333333333333,120.0,Inglés
35,Design and Interpretation of Clinical Trials,Johns Hopkins University,4.736730360934183,471.0,Inglés
36,Visual Elements of User Interface Design,California Institute of the Arts,4.6,760.0,Inglés
37,Management of Fashion and Luxury Companies,Università Bocconi,4.7112970711297075,956.0,Inglés
38,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,4.870596959584724,2697.0,Español
39,Social Psychology,Wesleyan University,4.83453237410072,1251.0,Inglés
40,Initiating and Planning Projects,"University of California, Irvine",4.714285714285714,2961.0,Inglés
41,Computational Thinking for Problem Solving,University of Pennsylvania,4.625482625482626,259.0,Inglés
42,Agile with Atlassian Jira,Atlassian,4.663421418636996,719.0,Inglés
43,Fundamentals of Graphic Design,California Institute of the Arts,4.779751332149201,2815.0,Inglés
44,Introduction to User Experience Design,Georgia Institute of Technology,4.4774774774774775,777.0,Inglés
45,Introduction to Marketing,University of Pennsylvania,4.746014877789586,1881.0,Inglés
46,Python for Data Science and AI,IBM,4.291478260869566,2874.0,Inglés
47,Marketing Analytics,University of Virginia,4.660468319559229,1452.0,Inglés
48,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,4.402439024390244,328.0,Inglés
49,Fundamentals of Quantitative Modeling,University of Pennsylvania,4.537007874015748,1270.0,Inglés
50,How to Manage a Remote Team,GitLab,5.0,5.0,Inglés
51,Mathematics for Machine Learning: Linear Algebra,Imperial College London,4.57273280584297,1643.0,Inglés
52,Introduction to Data Science in Python,University of Michigan,4.234324104234528,4911.0,Inglés
53,Customer Analytics,University of Pennsylvania,4.451518119490696,2042.0,Inglés
54,Introduction to Psychology,University of Toronto,4.8815566835871405,1182.0,Inglés
55,English for Career Development,University of Pennsylvania,4.865221808330511,2953.0,Inglés
56,Global Diplomacy – Diplomacy in the Modern World,University of London,4.639322916666667,768.0,Inglés
57,Game Theory,Stanford University,,,Inglés
58,SQL for Data Science,"University of California, Davis",4.494867639113992,1851.0,Inglés
59,Write Professional Emails in English,Georgia Institute of Technology,4.801294498381877,3089.0,Inglés
60,Medical Neuroscience,Duke University,4.904135338345864,532.0,Inglés
61,System Administration and IT Infrastructure Services,Google,4.657158529895776,1823.0,Inglés
62,International Women's Health and Human Rights,Stanford University,4.884297520661157,242.0,Inglés
63,Child Nutrition and Cooking,Stanford University,4.770538243626063,2118.0,Inglés
64,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,4.897435897435898,507.0,Inglés
65,Introduction to Social Media Marketing,Facebook,4.8125,48.0,Inglés
66,Forensic Accounting and Fraud Examination,West Virginia University,4.701030927835052,873.0,Inglés
67,Clinical Terminology for International and U.S. Students,University of Pittsburgh,4.815461346633416,401.0,Inglés
68,Science of Exercise,University of Colorado Boulder,4.836016096579477,994.0,Inglés
69,Digital Product Management: Modern Fundamentals,University of Virginia,4.727395411605938,741.0,Inglés
70,Data Science Math Skills,Duke University,4.449943117178612,1757.0,Inglés
71,Structuring Machine Learning Projects,DeepLearning.AI,4.7074718526100305,4885.0,Inglés
72,An Introduction to American Law,University of Pennsylvania,4.835374149659864,735.0,Inglés
73,The Strategy of Content Marketing,"University of California, Davis",4.4655172413793105,812.0,Inglés
74,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,4.274461028192372,1206.0,Inglés
75,The Data Scientist’s Toolbox,Johns Hopkins University,4.4799070076386585,6021.0,Inglés
76,Animal Behaviour and Welfare,The University of Edinburgh,4.8075,800.0,Inglés
77,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,4.469640644361834,807.0,Inglés
78,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,4.86144578313253,1328.0,Inglés
79,Introduction to the Biology of Cancer,Johns Hopkins University,4.803427419354839,992.0,Inglés
80,Convolutional Neural Networks,DeepLearning.AI,3.8553750966744005,1293.0,Inglés
81,Using Python to Access Web Data,University of Michigan,4.714109483423284,6484.0,Inglés
82,Introductory Human Physiology,Duke University,4.780250347705146,719.0,Inglés
83,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,4.774250440917108,567.0,Inglés
84,Organizational Analysis,Stanford University,,,Inglés
85,Communication Strategies for a Virtual Age,University of Toronto,4.847319347319347,858.0,Inglés
86,Moral Foundations of Politics,Yale University,4.871060171919771,698.0,Inglés
87,Étudier en France: French Intermediate course B1-B2,École Polytechnique,4.845121951219512,820.0,Francés
88,Managing the Company of the Future,London Business School,4.842298288508557,818.0,Inglés
89,Finance for Non-Finance Professionals,Rice University,4.814516129032258,372.0,Inglés
