,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
0,How to Learn Online,124980,Self-paced on your time,edX,Introductory,Education & Teacher Training,Inglés,Inglés,2–3 hours per week,2 Weeks,49
1,Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Inglés,Inglés,2–4 hours per week,7 Weeks,49
2,CS50's Introduction to Computer Science,2442271,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,6–18 hours per week,12 Weeks,90
3,The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,Inglés,Inglés,10–15 hours per week,13 Weeks,199
4,Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,Inglés,Inglés,5–7 hours per week,4 Weeks,249
5,Introduction to Project Management,301793,Self-paced on your time,University of Adelaide,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,6 Weeks,199
6,Leading High-Performing Teams,32847,Self-paced on your time,The University of Queensland,Intermediate,Communication,Inglés,Inglés,8–10 hours per week,10 Weeks,5
7,The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,199
8,"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Curtin University,Introductory,Health & Safety,Inglés,Inglés,1–3 hours per week,2 Weeks,49
9,Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universität München,Introductory,Business & Management,Inglés,Inglés,3–4 hours per week,8 Weeks,99
10,Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,Introductory,Math,Inglés,Inglés,3–5 hours per week,7 Weeks,49
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,Introductory,Communication,Inglés,Inglés,2–6 hours per week,5 Weeks,49
12,Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,Inglés,Inglés,3–5 hours per week,6 Weeks,99
13,English Grammar and Style,0,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,Inglés,Inglés,3–4 hours per week,8 Weeks,99
14,Ethics in Action,6366,Self-paced on your time,SDG Academy,Intermediate,Ethics,Inglés,"Inglés, Español, Русский",2–4 hours per week,10 Weeks,49
15,Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,Inglés,"Inglés, Chino, Chino",1–3 hours per week,6 Weeks,199
16,Data Science: R Basics,528782,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
17,Python Basics for Data Science,228809,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–5 hours per week,5 Weeks,39
18,The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,Inglés,Inglés,2–4 hours per week,6 Weeks,49
19,Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Advanced,Business & Management,Inglés,Inglés,4–6 hours per week,6 Weeks,399
20,CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,10–30 hours per week,7 Weeks,199
21,CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,Intermediate,Computer Science,Inglés,Inglés,6–9 hours per week,12 Weeks,149
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,2–3 hours per week,8 Weeks,99
23,CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,Intermediate,Computer Science,Inglés,Inglés,6–9 hours per week,12 Weeks,90
24,Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,Intermediate,Business & Management,Inglés,Inglés,3–6 hours per week,8 Weeks,125
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,Inglés,Inglés,3–5 hours per week,5 Weeks,99
26,Justice,392588,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,"Alemán, Inglés, Español, Portugués, Chino",3–6 hours per week,12 Weeks,99
27,Data Science: Machine Learning,276209,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,8 Weeks,49
28,Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,2–6 hours per week,16 Weeks,99
29,IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,Introductory,Communication,Inglés,Inglés,5–10 hours per week,8 Weeks,99
30,The Architectural Imagination,406181,Self-paced on your time,Harvard University,Introductory,Architecture,Inglés,Inglés,3–5 hours per week,10 Weeks,99
31,TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,Introductory,Communication,Inglés,Inglés,2–4 hours per week,6 Weeks,49
32,Principles of Biochemistry,257600,Self-paced on your time,Harvard University,Intermediate,Medicine,Inglés,Inglés,4–6 hours per week,15 Weeks,199
33,Using Python for Research,262183,Self-paced on your time,Harvard University,Intermediate,Computer Science,Inglés,Inglés,2–4 hours per week,12 Weeks,99
34,Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
35,Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Communication,Inglés,"Inglés, Español",4–5 hours per week,7 Weeks,40
36,The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,Introductory,Environmental Studies,Inglés,Inglés,3–5 hours per week,7 Weeks,99
37,Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,Introductory,Business & Management,Español,"Inglés, Español",5–8 hours per week,4 Weeks,49
38,Statistics and R,314586,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,4 Weeks,249
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,Introductory,Chemistry,Inglés,Inglés,2–3 hours per week,16 Weeks,199
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,Introductory,Art & Culture,Inglés,Inglés,2–4 hours per week,8 Weeks,99
41,"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,3–5 hours per week,1 Weeks,25
42,Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,8 Weeks,50
43,Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,3–5 hours per week,4 Weeks,49
44,Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,Intermediate,Social Sciences,Inglés,Inglés,2–4 hours per week,10 Weeks,99
45,CS50 for Lawyers,87336,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,3–6 hours per week,10 Weeks,99
46,Data Science: Visualization,171258,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
47,Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
48,The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Introductory,Social Sciences,Inglés,Inglés,4–5 hours per week,11 Weeks,169
49,Leaders of Learning,231131,Self-paced on your time,Harvard University,Introductory,Communication,Inglés,"Inglés, Español",2–4 hours per week,10 Weeks,99
50,Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,99
51,Data Science: Probability,135859,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
